Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
123.901,0.0284006
124.207,0.0295723
124.512,0.0296466
124.817,0.028842
125.122,0.028504
125.427,0.0294486
125.732,0.0307979
126.038,0.0311448
126.343,0.0302374
126.648,0.0293106
126.953,0.0296835
127.258,0.0310489
127.563,0.0320404
127.869,0.0318573
128.174,0.0310013
128.479,0.0306176
128.784,0.031001
129.089,0.0315185
129.395,0.0317793
129.7,0.0320108
130.005,0.0325645
130.31,0.0333039
130.615,0.0336067
130.92,0.033141
131.226,0.0324007
131.531,0.0322081
131.836,0.0328335
132.141,0.0338316
132.446,0.0345664
132.751,0.0347884
133.057,0.0346809
133.362,0.0345253
133.667,0.0345229
133.972,0.0346864
134.277,0.034944
134.583,0.035202
134.888,0.0353056
135.193,0.0352276
135.498,0.0351364
135.803,0.0352211
136.108,0.0354259
136.414,0.0355025
