"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
70,6.900,200,1760.704,7452,4,400.000,4,-105.2211533,39.7515326,1760.7042000,0.000,6.900,0.000,0.000,6.900,0.000,21.000,"0x0",611.56536865234375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
71,7.000,200,1760.704,7560,4,400.000,4,-105.2211539,39.7515322,1760.7044000,0.000,7.000,0.000,0.000,7.000,0.000,21.000,"0x0",611.656005859375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
72,7.100,200,1760.705,7668,4,400.000,4,-105.2211546,39.7515318,1760.7046000,0.000,7.100,0.000,0.000,7.100,0.000,21.000,"0x0",611.747314453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
73,7.200,200,1760.705,7776,4,400.000,4,-105.2211553,39.7515315,1760.7048000,0.000,7.200,0.000,0.000,7.200,0.000,21.000,"0x0",611.84307861328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
74,7.300,200,1760.705,7884,4,400.000,4,-105.2211559,39.7515311,1760.7050000,0.000,7.300,0.000,0.000,7.300,0.000,21.000,"0x0",611.9388427734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
75,7.400,200,1760.708,7992,4,400.000,4,-105.2211566,39.7515308,1760.7078000,0.000,7.400,0.000,0.000,7.400,0.000,21.000,"0x0",612.0362548828125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
76,7.500,200,1760.711,8100,4,400.000,4,-105.2211573,39.7515304,1760.7106000,0.000,7.500,0.000,0.000,7.500,0.000,21.000,"0x0",612.1402587890625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
77,7.600,200,1760.713,8208,4,400.000,4,-105.2211579,39.7515301,1760.7134000,0.000,7.600,0.000,0.000,7.600,0.000,21.000,"0x0",612.2423095703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
78,7.700,200,1760.716,8316,4,400.000,4,-105.2211586,39.7515297,1760.7162000,0.000,7.700,0.000,0.000,7.700,0.000,21.000,"0x0",612.34423828125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
79,7.800,200,1760.719,8424,4,400.000,4,-105.2211593,39.7515293,1760.7190000,0.000,7.800,0.000,0.000,7.800,0.000,21.000,"0x0",612.44805908203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
