Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-268.024,0.157984
-267.624,0.0682888
-267.224,0.150921
-266.824,0.0466933
-266.424,0.114285
-266.024,0.0841439
-265.624,0.083737
-265.224,0.11706
-264.824,0.100057
-264.424,0.126143
-264.024,0.109518
-263.624,0.0776914
-263.224,0.151299
-262.824,0.152331
-262.424,0.123077
-262.024,0.103211
-261.624,0.0342679
-261.224,0.0833882
-260.824,0.0904365
-260.424,0.148829
-260.024,0.0400519
-259.624,0.165076
-259.224,0.0535672
-258.824,0.0590024
-258.424,0.0544537
-258.024,0.176077
-257.624,0.0708756
-257.224,0.0251124
-256.824,0.096424
-256.424,0.0898697
-256.024,0.113122
-255.624,0.113979
-255.224,0.0792464
-254.824,0.0974994
-254.424,0.0956683
-254.024,0.0434816
-253.624,0.181411
-253.224,0.0952323
-252.824,0.0781565
-252.424,0.0869342
-252.024,0.107948
-251.624,0.112381
-251.224,0.092006
-250.824,0.103269
-250.424,0.0757586
-250.024,0.144309
-249.624,0.0942441
-249.224,0.0775751
-248.824,0.0490767
-248.424,0.044092
-248.024,0.0728666
-247.624,0.051896
-247.224,0.139135
-246.824,0.116159
-246.424,0.143045
-246.024,0.0804381
-245.624,0.0863964
-245.224,0.142187
-244.824,0.0807723
-244.424,0.135037
-244.024,0.103734
-243.624,0.0939243
-243.224,0.123542
-242.824,0.107803
-242.424,0.111378
-242.024,0.156633
-241.624,0.124748
-241.224,0.0753517
-240.824,0.105812
-240.424,0.147157
-240.024,0.123745
-239.624,0.120723
-239.224,0.062374
-238.824,0.20289
-238.424,0.110332
-238.024,0.125446
-237.624,0.0967873
-237.224,0.0769793
-236.824,0.102833
-236.424,0.120563
-236.024,0.146082
-235.624,0.108108
-235.224,0.130808
-234.824,0.0769648
-234.424,0.0736659
-234.024,0.0922095
-233.624,0.191264
-233.224,0.0771973
-232.824,0.133569
-232.424,0.0825598
-232.024,0.109198
-231.624,0.098444
-231.224,0.0775606
-230.824,0.0615893
-230.424,0.12623
-230.024,0.11366
-229.624,0.0823709
-229.224,0.103443
-228.824,0.0558198
-228.424,0.0952323
-228.024,0.0803799
-227.624,0.0569534
-227.224,0.121827
-226.824,0.0767323
-226.424,0.107687
-226.024,0.0762381
-225.624,0.0801184
-225.224,0.0865418
-224.824,0.166718
-224.424,0.112991
-224.024,0.168535
-223.624,0.128076
-223.224,0.12546
-222.824,0.0567499
-222.424,0.138859
-222.024,0.108922
-221.624,0.0706285
-221.224,0.0457923
-220.824,0.164422
-220.424,0.129558
-220.024,0.0522593
-219.624,0.104824
-219.224,0.136403
-218.824,0.0833446
-218.424,0.109838
-218.024,0.0947963
-217.624,0.105899
-217.224,0.0702362
-216.824,0.117031
-216.424,0.147201
-216.024,0.106132
-215.624,0.141519
-215.224,0.063246
-214.824,0.138917
-214.424,0.0946074
-214.024,0.139949
