"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
327,-517.62400000000002,-29,-68,-182,-27,4
328,-517.22400000000005,-51,-13,-170,-72,-19
329,-516.82399999999996,28,24,33,-108,-3
330,-516.42399999999998,-14,-82,3,154,-23
331,-516.024,8,-23,-35,47,-68
332,-515.62400000000002,130,169,1,121,-30
333,-515.22400000000005,-121,-151,19,-3,-28
334,-514.82399999999996,126,70,43,-36,109
335,-514.42399999999998,-103,3,43,40,32
336,-514.024,8,-56,64,70,-45
337,-513.62400000000002,-117,41,-29,-79,50
338,-513.22400000000005,61,-98,-247,-28,-51
339,-512.82399999999996,-2,-38,94,-35,206
340,-512.42399999999998,50,96,80,62,-130
341,-512.024,-255,61,-82,-81,-122
342,-511.62400000000002,-43,-141,4,17,-12
343,-511.22399999999999,34,-17,73,176,-44
344,-510.82400000000001,135,-23,34,34,132
345,-510.42399999999998,-73,-54,-92,37,8
346,-510.024,60,-37,1,-101,-7
347,-509.62400000000002,-233,-5,-92,-34,5
348,-509.22399999999999,-144,32,99,90,-63
349,-508.82400000000001,-43,55,77,135,-12
350,-508.42399999999998,-47,0,-187,-86,8
351,-508.024,-50,89,108,-19,15
352,-507.62400000000002,-25,-72,-125,67,115
353,-507.22399999999999,-106,133,-15,20,-126
354,-506.82400000000001,87,119,-101,55,37
355,-506.42399999999998,-7,-65,-203,-39,-45
356,-506.024,207,13,121,167,38
357,-505.62400000000002,24,-28,-45,47,-262
358,-505.22399999999999,-41,-8,-80,-13,-115
359,-504.82400000000001,19,8,-21,23,36
360,-504.42399999999998,18,3,-137,-52,-61
361,-504.024,33,20,-40,108,18
362,-503.62400000000002,-62,-34,52,-22,-17
363,-503.22399999999999,2,11,-4,88,-82
364,-502.82400000000001,18,-61,50,190,94
365,-502.42399999999998,-67,-115,64,-19,80
366,-502.024,15,37,61,43,-27
367,-501.62400000000002,58,124,-12,78,-32
368,-501.22399999999999,-94,-32,164,-79,-32
369,-500.82400000000001,32,210,-3,-171,20
370,-500.42399999999998,39,-44,75,-69,43
371,-500.024,90,17,107,25,-87
372,-499.62400000000002,-143,9,-10,25,-148
373,-499.22399999999999,-83,84,96,177,195
374,-498.82400000000001,-27,-96,64,9,-22
375,-498.42399999999998,79,105,84,160,-29
376,-498.024,105,-11,-125,-10,-107
377,-497.62400000000002,-42,41,-44,-28,7
378,-497.22399999999999,67,127,-57,-206,-81
379,-496.82400000000001,147,-39,-149,64,-14
380,-496.42399999999998,-88,-123,47,-79,141
381,-496.024,30,-21,-51,49,24
382,-495.62400000000002,9,43,70,22,19
383,-495.22399999999999,81,30,-37,-6,63
