MST (Seconds),Reading (nT),Date (MM/DD/YY)
52565.0,50268.8,11/20/25
52570.0,50268.9,11/20/25
52575.0,50268.8,11/20/25
52580.0,50268.9,11/20/25
52585.0,50268.3,11/20/25
52590.0,50268.7,11/20/25
52595.0,50268.7,11/20/25
52600.0,50268.8,11/20/25
52605.0,50268.8,11/20/25
52610.0,50268.9,11/20/25
52615.0,50268.9,11/20/25
52620.0,50268.9,11/20/25
52625.0,50268.9,11/20/25
52630.0,50269.0,11/20/25
52635.0,50268.9,11/20/25
52640.0,50268.8,11/20/25
52645.0,50268.8,11/20/25
52650.0,50268.7,11/20/25
52655.0,50268.6,11/20/25
52660.0,50268.4,11/20/25
52665.0,50268.4,11/20/25
52670.0,50268.8,11/20/25
52675.0,50268.7,11/20/25
52680.0,50268.4,11/20/25
52685.0,50268.7,11/20/25
52690.0,50268.7,11/20/25
52695.0,50269.1,11/20/25
52700.0,50268.8,11/20/25
52705.0,50268.8,11/20/25
52710.0,50268.7,11/20/25
52715.0,50268.9,11/20/25
52720.0,50268.8,11/20/25
52725.0,50269.0,11/20/25
52730.0,50268.9,11/20/25
52735.0,50268.9,11/20/25
52740.0,50268.9,11/20/25
52745.0,50269.1,11/20/25
52750.0,50269.1,11/20/25
52755.0,50269.2,11/20/25
52760.0,50269.1,11/20/25
52765.0,50269.0,11/20/25
52770.0,50269.0,11/20/25
52775.0,50268.9,11/20/25
52780.0,50269.1,11/20/25
52785.0,50269.1,11/20/25
52790.0,50269.0,11/20/25
52795.0,50269.1,11/20/25
52800.0,50268.7,11/20/25
52805.0,50268.7,11/20/25
52810.0,50268.9,11/20/25
52815.0,50268.6,11/20/25
52820.0,50268.7,11/20/25
52825.0,50268.4,11/20/25
52830.0,50267.8,11/20/25
52835.0,50268.5,11/20/25
52840.0,50268.8,11/20/25
52845.0,50269.1,11/20/25
52850.0,50269.1,11/20/25
52855.0,50269.1,11/20/25
52860.0,50269.3,11/20/25
52865.0,50269.5,11/20/25
52870.0,50269.6,11/20/25
52875.0,50269.7,11/20/25
52880.0,50269.9,11/20/25
52885.0,50269.6,11/20/25
52890.0,50269.5,11/20/25
52895.0,50269.6,11/20/25
52900.0,50269.6,11/20/25
52905.0,50269.8,11/20/25
52910.0,50269.8,11/20/25
52915.0,50269.7,11/20/25
52920.0,50269.6,11/20/25
52925.0,50269.9,11/20/25
52930.0,50269.9,11/20/25
52935.0,50269.8,11/20/25
52940.0,50270.0,11/20/25
52945.0,50269.9,11/20/25
52950.0,50269.9,11/20/25
52955.0,50269.8,11/20/25
52960.0,50269.7,11/20/25
52965.0,50269.8,11/20/25
52970.0,50269.9,11/20/25
52975.0,50269.7,11/20/25
52980.0,50269.8,11/20/25
52985.0,50269.7,11/20/25
52990.0,50269.5,11/20/25
52995.0,50269.8,11/20/25
53000.0,50269.7,11/20/25
53005.0,50269.7,11/20/25
53010.0,50269.6,11/20/25
53015.0,50269.7,11/20/25
53020.0,50269.6,11/20/25
53025.0,50269.9,11/20/25
53030.0,50269.6,11/20/25
53035.0,50269.4,11/20/25
53040.0,50269.7,11/20/25
53045.0,50269.6,11/20/25
53050.0,50269.5,11/20/25
53055.0,50269.7,11/20/25
53060.0,50269.6,11/20/25
53065.0,50269.5,11/20/25
53070.0,50269.2,11/20/25
53075.0,50269.5,11/20/25
53080.0,50269.3,11/20/25
