Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:29:27.1,55767.1,39.75128727,-105.2215153,50201.4950682784,481023.0898449661,4400176.590224416,13S
11/20/2025,15:29:27.2,55767.2,39.75128703,-105.2215155,50201.387799854754,481023.0726453741,4400176.563630232,13S
11/20/2025,15:29:27.3,55767.3,39.7512868,-105.2215157,50201.26172641681,481023.0554485258,4400176.538145904,13S
11/20/2025,15:29:27.4,55767.4,39.75128657,-105.221516,50201.1464346434,481023.02968480764,4400176.512682756,13S
11/20/2025,15:29:27.5,55767.5,39.75128634,-105.2215162,50201.03517525477,481023.0124879591,4400176.487198426,13S
11/20/2025,15:29:27.6,55767.6,39.7512861,-105.2215164,50200.98758963323,481022.9952883645,4400176.460604243,13S
11/20/2025,15:29:27.7,55767.7,39.75128587,-105.2215166,50200.93853036507,481022.97809151356,4400176.435119914,13S
11/20/2025,15:29:27.8,55767.8,39.75128564,-105.2215168,50200.87894347046,481022.9608946647,4400176.409635586,13S
11/20/2025,15:29:27.9,55767.9,39.7512854,-105.2215171,50200.90862629028,481022.9351282019,4400176.383062582,13S
11/20/2025,15:29:28.0,55768.0,39.75128517,-105.2215173,50200.922215682425,481022.9179313528,4400176.357578253,13S
11/20/2025,15:29:28.1,55768.1,39.75128512,-105.2215172,50201.24072199039,481022.9264845034,4400176.352007793,13S
11/20/2025,15:29:28.2,55768.2,39.75128506,-105.2215172,50201.693454765504,481022.92646804015,4400176.345348658,13S
11/20/2025,15:29:28.3,55768.3,39.75128501,-105.2215172,50202.01343494792,481022.9264543208,4400176.339799377,13S
11/20/2025,15:29:28.4,55768.4,39.75128495,-105.2215171,50202.66113474595,481022.93500472757,4400176.333119064,13S
11/20/2025,15:29:28.5,55768.5,39.7512849,-105.2215171,50203.267724653735,481022.93499100814,4400176.327569782,13S
11/20/2025,15:29:28.6,55768.6,39.75128485,-105.2215171,50203.451923651526,481022.93497728877,4400176.322020503,13S
11/20/2025,15:29:28.7,55768.7,39.75128479,-105.221517,50203.18206847768,481022.9435276956,4400176.315340189,13S
11/20/2025,15:29:28.8,55768.8,39.75128474,-105.221517,50202.86437049301,481022.94351397624,4400176.309790907,13S
